Lot_ID	Projet_ID	Ensemble	Code_Lot	Numero_Lot	Designation_Lot	Entreprise_ID	Montant_Marche_HT	TVA	Montant_Marche_TTC	Date_Notification	Date_Demarrage	Date_Reception_Prevue	Date_Reception_Reelle	Avancement_Pourcent	Statut_Lot	Commentaire
LOT-A-01	PRJ-001	A	LOT 01	01	DÉMOLITIONS		0	0.2	0					0	PREVU	
LOT-A-02	PRJ-001	A	LOT 02	02	TERRASSEMENT / VRD		0	0.2	0					0	PREVU	
LOT-A-03	PRJ-001	A	LOT 03	03	GROS ŒUVRE / MAÇONNERIE		0	0.2	0					0	PREVU	
LOT-A-04	PRJ-001	A	LOT 04	04	CHARPENTE / COUVERTURE		0	0.2	0					0	PREVU	
LOT-A-05	PRJ-001	A	LOT 05	05	MENUISERIES EXTÉRIEURES		0	0.2	0					0	PREVU	
LOT-A-06	PRJ-001	A	LOT 06	06	MENUISERIES INTÉRIEURES		0	0.2	0					0	PREVU	
LOT-A-07	PRJ-001	A	LOT 07	07	ISOLATION / DOUBLAGE / CLOISONS		0	0.2	0					0	PREVU	
LOT-A-08	PRJ-001	A	LOT 08	08	REVÊTEMENTS DE SOLS		0	0.2	0					0	PREVU	
LOT-A-09	PRJ-001	A	LOT 09	09	REVÊTEMENTS MURAUX ET PLAFONDS		0	0.2	0					0	PREVU	
LOT-A-10	PRJ-001	A	LOT 10	10	PLOMBERIE / SANITAIRES		0	0.2	0					0	PREVU	
LOT-A-11	PRJ-001	A	LOT 11	11	ÉLECTRICITÉ / CFO-CFA		0	0.2	0					0	PREVU	
LOT-A-12	PRJ-001	A	LOT 12	12	CHAUFFAGE / VENTILATION		0	0.2	0					0	PREVU	
LOT-A-13	PRJ-001	A	LOT 13	13	AMÉNAGEMENTS EXTÉRIEURS		0	0.2	0					0	PREVU	
LOT-B-01	PRJ-001	B	LOT 01	01	TERRASSEMENT / FONDATIONS		0	0.2	0					0	PREVU	
LOT-B-02	PRJ-001	B	LOT 02	02	GROS ŒUVRE / MAÇONNERIE		0	0.2	0					0	PREVU	
LOT-B-03	PRJ-001	B	LOT 03	03	CHARPENTE / COUVERTURE		0	0.2	0					0	PREVU	
LOT-B-04	PRJ-001	B	LOT 04	04	MENUISERIES EXTÉRIEURES		0	0.2	0					0	PREVU	
LOT-B-05	PRJ-001	B	LOT 05	05	SECOND ŒUVRE – RANGEMENT		0	0.2	0					0	PREVU	
LOT-B-06	PRJ-001	B	LOT 06	06	SECOND ŒUVRE – AUVENT		0	0.2	0					0	PREVU	
