Lot_ID;Designation_Lot;Entreprise_ID;Statut_Lot;Avancement_Pourcent;Montant_Marche_HT;Montant_Marche_TTC
LOT-A-01;DÉMOLITIONS;;PREVU;0;0;0
LOT-A-02;TERRASSEMENT / VRD;;PREVU;0;0;0
LOT-A-03;GROS ŒUVRE / MAÇONNERIE;;PREVU;0;0;0
LOT-A-04;CHARPENTE / COUVERTURE;;PREVU;0;0;0
LOT-A-05;MENUISERIES EXTÉRIEURES;;PREVU;0;0;0
LOT-A-06;MENUISERIES INTÉRIEURES;;PREVU;0;0;0
LOT-A-07;ISOLATION / DOUBLAGE / CLOISONS;;PREVU;0;0;0
LOT-A-08;REVÊTEMENTS DE SOLS;;PREVU;0;0;0
LOT-A-09;REVÊTEMENTS MURAUX ET PLAFONDS;;PREVU;0;0;0
LOT-A-10;PLOMBERIE / SANITAIRES;;PREVU;0;0;0
LOT-A-11;ÉLECTRICITÉ / CFO-CFA;;PREVU;0;0;0
LOT-A-12;CHAUFFAGE / VENTILATION;;PREVU;0;0;0
LOT-A-13;AMÉNAGEMENTS EXTÉRIEURS;;PREVU;0;0;0
LOT-B-01;TERRASSEMENT / FONDATIONS;;PREVU;0;0;0
LOT-B-02;GROS ŒUVRE / MAÇONNERIE;;PREVU;0;0;0
LOT-B-03;CHARPENTE / COUVERTURE;;PREVU;0;0;0
LOT-B-04;MENUISERIES EXTÉRIEURES;;PREVU;0;0;0
LOT-B-05;SECOND ŒUVRE – RANGEMENT;;PREVU;0;0;0
LOT-B-06;SECOND ŒUVRE – AUVENT;;PREVU;0;0;0
